em,_company_name,link,ticker,market_id,market_name
2008079,ОПИФ ОФЗ (ОПИФ Российские Гособлигации),https://www.finam.ru/quote/moex/ru000a101uy0/,RU000A101UY0,29,МосБиржа пифы
4282467,ОРГ ао,https://www.finam.ru/quote/moex/orup/,MOEX.ORUP:MTQR,1,МосБиржа акции
2673171,INGO ETF (БПИФ Ингосстрах Корп облигации),https://www.finam.ru/quote/moex/ingo/,MISX.INGO,515,Мосбиржа ETF
3905349,ПАРУС-НОРД (ЗПИФ ПАРУС-Нордвей),https://www.finam.ru/quote/moex/ru000a104ku3/,MOEX.RU000A104KU3:TQIF,29,МосБиржа пифы
2714338,БКС РосАкц (ОПИФ БКС Российские Акции),https://www.finam.ru/quote/moex/ru000a0jp773/,MOEX.RU000A0JP773:TQIF,29,МосБиржа пифы
4271199,НИТЕЛ ао,https://www.finam.ru/quote/moex/ntzl/,MOEX.NTZL:MTQR,1,МосБиржа акции
83261,КурганГКао,https://www.finam.ru/quote/moex/kgkc/,KGKC,1,МосБиржа акции
2673173,RCHY ETF (БПИФ Райф Высокодох. облигации),https://www.finam.ru/quote/moex/rchy/,MISX.RCHY,515,Мосбиржа ETF
2314364,БСП ап,https://www.finam.ru/quote/moex/bspbp/,MOEX.BSPBP:TQBR,1,МосБиржа акции
2077397,SUGB ETF (БПИФ МКБ – ОФЗ 1-3 г),https://www.finam.ru/quote/moex/sugb/,SUGB,515,Мосбиржа ETF
4450397,ЗИЛ ап,https://www.finam.ru/quote/moex/zillp/,MOEX.ZILLP:MTQR,1,МосБиржа акции
81891,СаратНПЗ,https://www.finam.ru/quote/moex/krkn/,KRKN,1,МосБиржа акции
2913471,AKGD ETF (БПИФ Альфа Капитал Золото),https://www.finam.ru/quote/moex/akgd/,MISX.AKGD,14,МосБиржа фьючерсы
3832065,SBGD ETF (БПИФ Первая Доступное золото),https://www.finam.ru/quote/moex/sbgd/,MISX.SBGD,14,МосБиржа фьючерсы
4271201,ОНГГ ап,https://www.finam.ru/quote/moex/obnep/,MOEX.OBNEP:MTQR,1,МосБиржа акции
2853574,БКСФундВыб (ОПИФ БКС Фундаментальный Выбор),https://www.finam.ru/quote/moex/ru000a1007r9/,MOEX.RU000A1007R9:TQFD,29,МосБиржа пифы
496833,БКСИмперия (ОПИФ БКС Империя),https://www.finam.ru/quote/moex/ru000a0jvhy6/,RU000A0JVHY6,29,МосБиржа пифы
1822136,RCMX ETF (БПИФ Райф Индекс МосБиржи 15),https://www.finam.ru/quote/moex/rcmx/,RCMX,515,Мосбиржа ETF
3810748,BOND ETF (ДОХОДЪ Сбондс Корп. обл. РФ),https://www.finam.ru/quote/moex/bond/,MISX.BOND,14,МосБиржа фьючерсы
4573969,SBSC ETF (БПИФ Первая Акции ср.и мал.кап),https://www.finam.ru/quote/moex/sbsc/,MISX.SBSC,14,МосБиржа фьючерсы
4282466,ГИТ ао,https://www.finam.ru/quote/moex/grnt/,MOEX.GRNT:MTQR,1,МосБиржа акции
2703843,СФНАрБиз7 (ПИФ СФН Арендный бизнес 7),https://www.finam.ru/quote/moex/ru000a1034u7/,MOEX.RU000A1034U7:TQPI,29,МосБиржа пифы
499199,ИПИФМирИнв (ИПИФ Мировые инвестиции УКАтон),https://www.finam.ru/quote/moex/ru000a0zzcd8/,RU000A0ZZCD8,29,МосБиржа пифы
2341019,ЗПИФРД (ЗПИФ РД),https://www.finam.ru/quote/moex/ru000a102n77/,MOEX.RU000A102N77:TQIF,29,МосБиржа пифы
4454969,TMON ETF (ТИНЬКОФФ ДЕНЕЖНЫЙ РЫНОК),https://www.finam.ru/quote/moex/tmon/,MISX.TMON,14,МосБиржа фьючерсы
3869301,RSHU ETF (БПИФ РСХБ Корп рос еврооблигац),https://www.finam.ru/quote/moex/rshu/,-,-,-
2127225,RCMB ETF (БПИФ Райф Еврооблигации),https://www.finam.ru/quote/moex/rcmb/,MOEX.RCMB:TQTF,515,Мосбиржа ETF
4271195,КрМЗ ао,https://www.finam.ru/quote/moex/kziz/,MOEX.KZIZ:MTQR,1,МосБиржа акции
2582568,SBCS ETF (БПИФ Первая Консерватив смарт),https://www.finam.ru/quote/moex/sbcs/,MISX.SBCS,515,Мосбиржа ETF
2483115,ПАРУС-ОЗН (ЗПИФ ПАРУС-ОЗН),https://www.finam.ru/quote/moex/ru000a1022z1/,MOEX.RU000A1022Z1:TQIF,29,МосБиржа пифы
4038267,SBCN ETF (БПИФ Первая Сберегат. в юанях),https://www.finam.ru/quote/moex/sbcn/,MISX.SBCN,14,МосБиржа фьючерсы
4271200,ОНГГ ао,https://www.finam.ru/quote/moex/obne/,MOEX.OBNE:MTQR,1,МосБиржа акции
2877923,VEON,https://www.finam.ru/quote/moex/veon-rx/,MOEX.VEON-RX:TQBR,1,МосБиржа акции
1974544,ЗПИФ ФПР (ЗПИФ Фонд первичных размещений),https://www.finam.ru/quote/moex/ru000a101nk4/,RU000A101NK4,29,МосБиржа пифы
4271197,Новошип ао,https://www.finam.ru/quote/moex/nomp/,MOEX.NOMP:MTQR,1,МосБиржа акции
4492039,ТКЗамещОбл (ЗПИФ Тинькофф Замещающие облиг),https://www.finam.ru/quote/moex/ru000a106g80/,MOEX.RU000A106G80:TQIF,29,МосБиржа пифы
499245,СоврАрБиз3 (ПИФ Современ Арендный бизнес 3),https://www.finam.ru/quote/moex/ru000a0zz5r2/,RU000A0ZZ5R2,29,МосБиржа пифы
2396436,BCSB ETF (БКС Облигации повыш доход),https://www.finam.ru/quote/moex/bcsb/,MOEX.BCSB:TQTF,515,Мосбиржа ETF
74604,ПИФКазна (ПИФ Казначейский УК ВИМИнвест),https://www.finam.ru/quote/moex/ru000a0jr2c1/,RU000A0JR2C1,29,МосБиржа пифы
